ALL_GSE132509	AML_GSE116256	BCC_GSE123813_aPD1	BRCA_GSE114727_non_malignant	BRCA_GSE136206_mouse_aPD1aCTLA4	BRCA_GSE138536_non_malignant	CHOL_GSE125449_aPD1aPDL1aCTLA4	CLL_GSE111014_non_malignant	CRC_GSE108989_non_malignant	CRC_GSE136394_non_malignant	CRC_GSE139555_non_malignant	CRC_GSE146771_10X_non	CRC_GSE146771	DLBCL_res	Glioma_GSE135437	Glioma_GSE148842	Glioma_GSE70630	Glioma_GSE84465	Glioma_GSE89567	HNSC_GSE103322	HNSC_GSE139324	KIRC_GSE111360	KIRC_GSE139555	LIHC_GSE125449_aPDL1aCTLA4	LIHC_GSE140228_immune10X	LIHC_GSE140228_immune_Smart	LIHC_GSE98638_immune	MB_GSE119926	NHL_GSE128531.res	NSCLC_EMTAB6149.res	NSCLC_GSE127465.res	NSCLC_GSE131907.res	NSCLC_GSE139555.res	NSCLC_GSE99254.res	OSCC_GSE117872	PAAD_CRA001160.res	SKCM_GSE115978_aPD1.res	SKCM_GSE120575_aPD1aCTLA4.res	SKCM_GSE123139.res	SKCM_GSE148190.res	SKCM_GSE72056.res
Tproilf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMKI67	0	0	0	0	0	0	0	0	0	0	0	0	0	0.705692715955174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136302863308434	0	0	0	0	0	0
pDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0750157853655703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microglia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302983073047695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oligodendrocyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000325836667707565	0.0840631456500413	0.00156682699121139	0.0590086047601449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC-like Malignant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00197002381070182	0.119316251362135	0.00287540820009352	0.0696838490213887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000773633860032908	0	0	0	0	0	0	0	0	0	0	0	0	0.00224406409810878	0	0	0	0	0	0	0	0	0	0	0	0
OC-like Malignant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833071940400963	0	0.0917596957210988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrocyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neuron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
