Hugo_Symbol	metamaintype	n	prop
PTEN	Mesothelioma	NA	NA
PTEN	Non-Small Cell Lung Cancer	NA	NA
PTEN	Ovarian Cancer	NA	NA
PTEN	Pancreatic Cancer	NA	NA
PTEN	Peripheral Nervous System	NA	NA
PTEN	Prostate Cancer	NA	NA
PTEN	Renal Cell Carcinoma	1	0.0256410256410256
PTEN	Salivary Gland Cancer	NA	NA
PTEN	Skin Cancer, Non-Melanoma	NA	NA
PTEN	Small Cell Lung Cancer	NA	NA
PTEN	Soft Tissue Sarcoma	NA	NA
PTEN	Thyroid Cancer	NA	NA
PTEN	Uterine Sarcoma	NA	NA
PIK3CA	Appendiceal Cancer	NA	NA
PIK3CA	Bladder Cancer	4	0.0258064516129032
PIK3CA	Bone Cancer	NA	NA
PIK3CA	Breast Cancer	63	0.0403587443946188
PIK3CA	CNS Cancer	NA	NA
PIK3CA	Cancer of Unknown Primary	1	0.0117647058823529
PIK3CA	Cervical Cancer	2	0.0392156862745098
PIK3CA	Colorectal Cancer	10	0.0224719101123595
PIK3CA	Endometrial Cancer	18	0.0435835351089588
PIK3CA	Esophagogastric Cancer	2	0.0350877192982456
PIK3CA	Gastrointestinal Neuroendocrine Tumor	NA	NA
PIK3CA	Gastrointestinal Stromal Tumor	NA	NA
PIK3CA	Germ Cell Tumor	NA	NA
PIK3CA	Glioma	2	0.0140845070422535
PIK3CA	Head and Neck Cancer	2	0.0253164556962025
PIK3CA	Hepatobiliary Cancer	NA	NA
PIK3CA	Melanoma	NA	NA
PIK3CA	Mesothelioma	NA	NA
PIK3CA	Non-Small Cell Lung Cancer	6	0.0241935483870968
PIK3CA	Ovarian Cancer	1	0.0120481927710843
PIK3CA	Pancreatic Cancer	NA	NA
PIK3CA	Peripheral Nervous System	NA	NA
PIK3CA	Prostate Cancer	NA	NA
PIK3CA	Renal Cell Carcinoma	NA	NA
PIK3CA	Salivary Gland Cancer	1	0.0416666666666667
PIK3CA	Skin Cancer, Non-Melanoma	1	0.0416666666666667
PIK3CA	Small Cell Lung Cancer	NA	NA
PIK3CA	Soft Tissue Sarcoma	NA	NA
PIK3CA	Thyroid Cancer	NA	NA
PIK3CA	Uterine Sarcoma	NA	NA
FGFR3	Appendiceal Cancer	NA	NA
FGFR3	Bladder Cancer	6	0.0298507462686567
FGFR3	Bone Cancer	NA	NA
FGFR3	Breast Cancer	NA	NA
FGFR3	CNS Cancer	NA	NA
FGFR3	Cancer of Unknown Primary	NA	NA
FGFR3	Cervical Cancer	NA	NA
FGFR3	Colorectal Cancer	NA	NA
FGFR3	Endometrial Cancer	NA	NA
FGFR3	Esophagogastric Cancer	NA	NA
FGFR3	Gastrointestinal Neuroendocrine Tumor	NA	NA
FGFR3	Gastrointestinal Stromal Tumor	NA	NA
FGFR3	Germ Cell Tumor	NA	NA
FGFR3	Glioma	NA	NA
FGFR3	Head and Neck Cancer	1	0.2
FGFR3	Hepatobiliary Cancer	NA	NA
FGFR3	Melanoma	NA	NA
FGFR3	Mesothelioma	NA	NA
FGFR3	Non-Small Cell Lung Cancer	NA	NA
FGFR3	Ovarian Cancer	NA	NA
FGFR3	Pancreatic Cancer	NA	NA
FGFR3	Peripheral Nervous System	NA	NA
FGFR3	Prostate Cancer	NA	NA
FGFR3	Renal Cell Carcinoma	NA	NA
