Gene	Pt9_On	Pt9_Pre	Pt84_On	Pt84_Pre	Pt5_On	Pt5_Pre	Pt10_On	Pt10_Pre	Pt8_On	Pt8_Pre	Pt77_On	Pt77_Pre	Pt66_Pre	Pt28_On	Pt28_Pre	Pt30_On	Pt30_Pre	Pt29_Pre	Pt13_On	Pt27_On	Pt27_Pre	Pt4_On	Pt4_Pre	Pt59_Pre	Pt72_Pre	Pt11_On	Pt11_Pre	Pt89_On	Pt89_Pre	Pt31_On	Pt31_Pre	Pt87_On	Pt94_On	Pt94_Pre	Pt18_On	Pt18_Pre	Pt44_On	Pt44_Pre	Pt3_On	Pt3_Pre
PITX1	3.03036272625517	1.87188117956305	-1.0459191825579	-0.580661718743724	0.0155546622830452	-0.325506562384455	0.723935570469001	1.23114537545658	-1.0459191825579	-0.428141577525853	0.207612169269564	-0.636258938623891	1.54372019236581	1.01490169862461	0.612161121132459	-1.0459191825579	2.40052014606958	-1.0459191825579	-1.0459191825579	0.140431287592423	-0.380794045896533	-0.479322877331523	0.28137972558039	-1.0459191825579	0.853990150152437	-0.216531323945858	0.0782282832371782	-0.160866039733421	-0.27085892067605	-0.69314349836039	-1.0459191825579	-1.0459191825579	-1.0459191825579	-0.529005922785373	-0.0428897945149902	-0.10561147387335	-1.0459191825579	0.519931514252275	0.350425732657176	0.432602985013698
PLAGL1	0.521036829428485	-0.144208700084894	-0.503938857753813	-0.554414637423654	-0.0289274843095739	0.355403209312423	-0.455390763408753	-0.721317323442639	-0.968887845223833	-0.899963831886251	-0.359112707977194	-0.777556192343712	0.720380651400595	-0.60874180379216	-1.48503863227138	0.435703218379461	0.611159558728284	-0.837490594777942	-0.25168892221113	2.35866561179692	0.847464286206024	-1.14105983309288	-0.664326902242497	1.21600384116962	-1.48503863227138	1.84210278465958	1.52143825169293	1.00469999841077	2.97412017433555	0.215852054874109	0.150205841924547	-0.090216360205854	-0.40537864058153	0.287934477573198	-0.198602375935547	0.089423792507112	-1.04935649518291	-1.24403072074565	0.02818187717698	-0.305088202411437
PLAGL2	-0.608513948236098	-0.0901594243502565	-0.405217818902727	-0.664080724367838	-0.837187337570291	-0.554204689538503	-0.503745548020654	-0.721052360017838	-1.1406565114353	-0.777272691100283	2.3579153313851	1.21563021229918	-0.968541276007165	-0.455213456411517	-0.304960439113595	0.287866764911113	-0.89963998184732	-0.358967136773446	-0.251578760728377	0.610985302530607	0.847212137720247	0.150183528263498	-1.37905668383895	-0.144133966926052	-1.24359345716008	0.520892280066003	0.435586797232134	0.0894215142171492	0.215808102485022	0.0281997858420714	0.355313257171905	0.720170393042031	1.52096394356247	1.00439602087559	1.84152277701794	2.97316702382203	-0.0288907508884753	-1.04898340137093	-0.198509713182509	-1.59107509465591
PLXNA2	0.519807507075102	-0.949860043913619	0.61301678872027	0.348501213232743	-0.949860043913619	0.278721790574515	-0.224478134259003	-0.949860043913619	-0.490061093376643	1.02003532850621	2.42037199359058	1.88611775588436	0.85741455683809	0.725978520656069	-0.390485676002002	1.23857597352926	3.05690484279708	-0.112380079250708	-0.949860043913619	0.204170665778071	-0.949860043913619	-0.540271878539304	-0.949860043913619	-0.949860043913619	-0.334610921718114	-0.438336139211436	0.0734124474414584	0.136276180121743	-0.279382805719959	-0.949860043913619	-0.949860043913619	-0.0489921621346112	-0.949860043913619	-0.949860043913619	1.55447100040853	-0.16822156622705	0.431551362949589	-0.949860043913619	0.0100730992121485	-0.949860043913619
ATP6AP1	-0.664080724367838	-1.24359345716008	2.97316702382203	2.3579153313851	1.52096394356247	1.84152277701794	-0.554204689538503	-0.777272691100283	0.150183528263498	-0.304960439113595	-0.405217818902727	0.355313257171905	-0.503745548020654	1.21563021229918	0.610985302530607	-0.0901594243502565	0.435586797232134	-0.198509713182509	-0.144133966926052	-0.608513948236098	-0.968541276007165	-0.0288907508884753	1.00439602087559	-1.04898340137093	-0.455213456411517	-1.59107509465591	-1.37905668383895	-0.837187337570291	-0.89963998184732	0.0281997858420714	0.847212137720247	-0.358967136773446	0.520892280066003	0.215808102485022	-0.721052360017838	-1.1406565114353	0.0894215142171492	-0.251578760728377	0.287866764911113	0.720170393042031
PML	0.135601707070264	-0.16981986239783	-0.921376356957532	-0.921376356957532	-0.921376356957532	-0.921376356957532	-0.49263582631732	-0.921376356957532	-0.921376356957532	0.613788710597535	0.278479486725459	0.348470614871416	-0.921376356957532	-0.0502287253161599	0.0725472505822925	0.520296639045546	-0.921376356957532	-0.921376356957532	-0.921376356957532	-0.921376356957532	-0.281318356679141	0.431772732457613	-0.921376356957532	-0.113808956575854	-0.921376356957532	3.06509133608715	1.89075216975302	1.55809922311872	2.42662729438631	-0.440753942555505	-0.22624710859993	-0.921376356957532	0.858927963048819	1.02204211383172	1.24124579463352	0.727093159879553	-0.392758304661817	-0.336714030601801	0.00901573556371295	0.203702179458101
PMM2	0.720170393042031	0.287866764911113	-0.503745548020654	-0.777272691100283	0.520892280066003	0.215808102485022	-0.968541276007165	-1.37905668383895	0.0281997858420714	-0.358967136773446	-1.04898340137093	-0.89963998184732	-0.198509713182509	-0.144133966926052	-0.455213456411517	-0.837187337570291	-1.1406565114353	-0.664080724367838	1.84152277701794	-0.721052360017838	-1.24359345716008	-0.251578760728377	-0.0288907508884753	-0.554204689538503	2.97316702382203	0.0894215142171492	0.355313257171905	1.21563021229918	1.52096394356247	-0.0901594243502565	-0.304960439113595	0.847212137720247	0.150183528263498	0.435586797232134	-1.59107509465591	0.610985302530607	-0.405217818902727	-0.608513948236098	1.00439602087559	2.3579153313851
PMP22	0.435586797232134	0.355313257171905	-0.455213456411517	-0.251578760728377	-1.04898340137093	-1.24359345716008	-0.721052360017838	-0.777272691100283	1.00439602087559	0.610985302530607	-0.405217818902727	-0.664080724367838	-1.37905668383895	-0.968541276007165	-0.0288907508884753	0.0281997858420714	-1.1406565114353	0.287866764911113	-1.59107509465591	-0.144133966926052	-0.0901594243502565	0.150183528263498	-0.304960439113595	-0.608513948236098	0.0894215142171492	0.847212137720247	1.21563021229918	-0.358967136773446	-0.198509713182509	2.3579153313851	-0.503745548020654	1.52096394356247	2.97316702382203	0.215808102485022	-0.554204689538503	-0.89963998184732	1.84152277701794	0.720170393042031	0.520892280066003	-0.837187337570291
PMS1	-0.455213456411517	-0.664080724367838	-1.37905668383895	-1.59107509465591	-0.968541276007165	-0.721052360017838	-0.777272691100283	-1.24359345716008	1.00439602087559	0.215808102485022	1.21563021229918	-0.0288907508884753	-1.04898340137093	-0.198509713182509	0.610985302530607	0.287866764911113	-1.1406565114353	0.0281997858420714	0.847212137720247	1.52096394356247	0.150183528263498	0.0894215142171492	-0.503745548020654	-0.89963998184732	-0.554204689538503	1.84152277701794	2.97316702382203	0.520892280066003	-0.358967136773446	-0.608513948236098	-0.0901594243502565	0.720170393042031	-0.837187337570291	-0.251578760728377	0.435586797232134	-0.144133966926052	0.355313257171905	2.3579153313851	-0.405217818902727	-0.304960439113595
PMS2P1	-0.0901594243502565	0.150183528263498	-0.89963998184732	-1.1406565114353	0.0281997858420714	-0.144133966926052	0.847212137720247	0.610985302530607	-0.358967136773446	-0.608513948236098	-0.251578760728377	-0.198509713182509	-1.59107509465591	1.21563021229918	-0.777272691100283	-0.837187337570291	0.287866764911113	-0.664080724367838	-1.24359345716008	-1.37905668383895	-1.04898340137093	-0.721052360017838	-0.405217818902727	0.355313257171905	-0.0288907508884753	1.84152277701794	2.3579153313851	1.52096394356247	2.97316702382203	0.720170393042031	1.00439602087559	-0.455213456411517	0.435586797232134	0.215808102485022	0.0894215142171492	-0.304960439113595	-0.554204689538503	-0.968541276007165	0.520892280066003	-0.503745548020654
