AICDA_exp	APOBEC3A_exp	APOBEC3B_exp	UNG_exp	SMUG1_exp	Intratumor.Heterogeneity	Proliferation	Aneuploidy.Score	Homologous.Recombination.Defects	B.Cells.Memory	B.Cells.Naive	Dendritic.Cells.Activated	Dendritic.Cells.Resting	Eosinophils	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.Cells.Activated	Mast.Cells.Resting	Monocytes	Neutrophils	NK.Cells.Activated	NK.Cells.Resting	Plasma.Cells	T.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Resting	T.Cells.CD4.Naive	T.Cells.CD8	T.Cells.Follicular.Helper	T.Cells.gamma.delta	T.Cells.Regulatory.Tregs	Lymphocytes	AICDA_signature_weight	AICDA_mutations_log.x	Lymphocyte.Infiltration.Signature.Score	EBV	HBV	HCV	HPV	AICDA_mutations	polyoma_BK_virus	polyoma_JC_virus	polyoma_KI_virus	polyoma_Merkel_cell	polyoma_WU_virus	AICDA_exp_log	AICDA_mutations_log.y	BCR.Evenness	BCR.Shannon	BCR.Richness	TCR.Shannon
KIRP	0.0585574399713912	0.123771591383924	0.139350380822232	-0.0232371069657296	-0.0313048550824929	-0.0203419822487954	0.051727637785287	0.115017921951709	0.0282874543058435	0.0927745218961465	-0.0420281820493981	-0.00246620180098459	0.0272745039196669	-0.0734789899261259	0.00612984071701626	-0.065314635738757	0.0443846023315662	0.0207748997848616	0.0691607385214862	0.00270909016081233	-0.0128420140792289	0.000174873379384649	-0.0609221767290363	-0.00550323974761089	-0.101990144819295	-0.0919583710671497	-0.00720406303814265	-0.0609963533785842	-0.0742933808376269	-0.0397378151828022	-0.00523510933485278	-0.092376328095966	0.186053680068695	1	-0.02854513533946	0.0819420109535726	NA	NA	-0.0359757896369315	1	NA	NA	NA	NA	NA	0.0445132888850893	0.909698126004411	0.0339818612382803	0.0115871375548256	-0.093062296910696	0.0172828118131212
LAML	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LGG	0.0250844421815575	0.0546515030746714	0.156880947766382	0.0670608196378366	0.0245855110569925	0.130653508555106	0.169415326884314	0.185788368431463	0.0493313960761881	-0.0830325159698143	-0.024659138250091	-0.0699677160055795	-0.0353665808163413	-0.0602502016729133	0.0588537104910982	0.0328830034478856	0.0990245870032543	-0.0694933153800925	-0.00694904184526588	-0.0630112289260512	-0.0238137539349693	0.0302646525555395	0.01947761405305	0.0201784162048972	0.0550091261469255	0.0863435802830842	-0.109218302361703	0.00212379024111813	-0.0499901661075903	0.037423670688533	0.00061562290783656	-0.0175222820778766	0.0513771845867057	1	0.0666615977774995	NA	-0.00403810527493703	NA	-0.00643829656648859	1	NA	NA	NA	NA	NA	0.0164964855782276	0.668667521765282	0.206970991390775	0.138877393219405	-0.0227709948808725	0.035381598954097
LIHC	-0.097284979668597	-0.0549155574097027	0.0975014619657134	-0.0432734356400163	0.0908661336858043	0.0165922750262605	0.0840402055007787	0.0837143643072064	0.176117068438984	0.0500371432388693	-0.0515601053500299	0.0890542879710109	-0.0558050340777534	-0.0139109071483974	0.0266595257454125	0.00974347634316063	-0.0531418924196598	-0.054602035265234	0.0454484919313487	0.0544342208765757	-0.0713171337695633	0.0260465261398222	0.0473902111657899	-0.0647844239417555	-0.00176796163916677	-0.053406432435631	0.00257036378997637	0.0211311654247566	0.0232175733343865	0.107489420959208	0.050606980249872	0.00877481209991555	0.0186574770386627	1	-0.12580017609027	-0.0265757974693662	-0.0840648642864903	-0.0130929393842657	-0.0238509226403759	1	NA	NA	NA	NA	NA	-0.13069365882218	0.883339106728171	-0.137596346644391	-0.0987789404459814	-0.085886477208421	-0.0657492755379137
LUAD	-0.0539028241484487	0.14768808978293	0.236193562571019	0.28958826694209	0.122309675624482	0.0745339600859238	0.392042312705071	0.200950308474448	0.462856688692236	-0.12135047700916	0.0488812485731336	-0.0971603823300467	-0.159990931118632	0.0535136242497071	0.0710084525273438	0.218928660592019	-0.0629259199258533	0.0950381717766484	-0.173982123275147	-0.141312607479366	-0.0129368388969275	0.00859584664680785	0.0429407537082864	0.104556829554322	0.120098704543756	-0.217993698491104	0.0227566839696342	0.249944189093487	0.123172511568359	0.125451433317669	-0.123083107305981	0.0888843707738366	-0.0462841202286625	1	-0.0635340287843555	0.0122641611581731	NA	NA	NA	1	NA	NA	NA	NA	NA	-0.0565503642991768	0.889875308282253	-0.0727207690939016	0.0654906480512574	0.0502873679630279	-0.0587041940089973
LUSC	-0.0622136887792313	0.063361481172077	0.0132424069123048	0.0772235430173589	0.143667303796842	-0.0582158592568578	0.146767178515549	0.137938707074604	0.251363132113431	-0.0782620381204529	-0.0197024682617125	0.0450120929443485	-0.146817255178997	-0.0306088854769831	-0.0701582427570784	0.100130651111095	-0.0174532451573334	-0.00299439798132785	-0.0728585960238164	-0.0248649092745643	-0.0044771672932768	0.067909844886724	0.0396702576499928	0.018096629911473	0.136367359188476	-0.122744895612808	-0.0297364008393597	0.118202492125958	0.133641318518802	-0.00217383722533332	-0.0224927045006501	0.0644394222680096	0.0611539652681577	1	-0.0302347593408283	-0.0363529737094623	NA	NA	0.0145595967734831	1	NA	NA	NA	NA	NA	-0.0584241660955732	0.809782807116935	-0.0171350829281676	0.00179248425923478	-0.0117972532303233	0.00778488589438052
OV	0.0713327646750246	0.158708097658535	0.132505161704806	0.0221703236788652	0.0448225289264866	0.261086878568279	0.113929740206393	0.0393081330442012	0.286300503779205	-0.00283888681282174	-0.0941114185613493	-0.066085673342141	0.0113868089264406	0.0312805704813801	-0.0851803347500417	0.111468289032144	0.0879027939224581	0.0392191079911666	-0.073899479956797	0.0520603954857476	0.0269535010365671	0.0682088665452773	-0.002840038378506	0.0775140841459513	0.038889006110121	-0.0389402043579336	0.0841975909441354	0.010768827614428	-0.063369704326905	-0.0402500211529338	-0.0789667497836099	-0.0316088189797264	0.133850734198171	1	0.0926535238796072	NA	NA	NA	-0.00381701982773365	1	NA	NA	NA	0.0909985647660107	NA	0.0691049067347585	0.948283785927314	-0.0464241219958249	0.094813443123366	0.0741220914353059	0.013835319413254
PRAD	-0.0181882794161301	0.0331735145942243	0.244961524725265	0.205371928027101	-0.00796147954739542	0.0308266088007181	0.248957926378992	0.015867763705929	0.0745222731654849	-0.0296310558429835	-0.0272028079897246	0.00300740878703024	0.0266504829931548	-0.00535616560869095	-0.013500322168994	0.004749145321363	0.0579598483958311	0.010949229214814	-0.0641667862508919	-0.0287724233884075	0.0602482888997771	0.0475073787585579	0.0256634476860069	-0.0880910439913132	0.606755938554265	-0.147903984318047	NA	0.166875257791787	0.0965101112830552	0.000499704979022266	0.110430766966447	0.00683549444122177	0.148303714971623	1	-0.00826887929279386	0.0118026530179637	NA	NA	-0.0229650174454412	1	NA	NA	NA	NA	NA	0.135652137288282	0.819191151724895	0.0927107080433938	-0.0590820572430028	-0.0438642104078868	0.0109138993316028
READ	-0.0221490811357918	0.0087868173351396	-0.122888452748861	0.118383812027833	-0.0395855673679101	-0.0123727703384675	0.168632204429656	-0.347485577542738	-0.235342445472338	-0.127156464918233	-0.0433415913215926	-0.107197420879884	0.0554581137504923	-0.0739200499449834	-0.0614331540886401	0.295615954451453	-0.0431164830763956	0.164704330569124	-0.0856110188759031	0.0524414943316841	-0.00733116082153017	-0.0266702077299343	0.0489237724583638	-0.0715575772277734	0.0881552703074227	-0.035440014629645	-0.0710025038508254	0.0368206679482681	0.0494880607765899	0.188930752202347	-0.0493815409973866	-0.0606672135887364	0.361217033171872	1	0.0229148736999226	-0.0224179922393559	NA	NA	-0.0100793266591958	1	NA	NA	NA	NA	NA	-0.0405015066254035	0.79989173186921	0.134758469420074	0.0834706441593987	-0.0479192952610997	0.19888766960612
SKCM	-0.0325848926010171	0.0132615551057847	0.155895091467567	-0.0119662754039897	-0.0545819099099117	0.0800603201018465	0.189946788784779	-0.00652301212358034	-0.0641300409492969	-0.0559895034537005	-0.038783385676588	-0.0321906960962039	-0.00145027884608922	0.010714033435729	0.00261888097763175	0.20413738892664	-0.0862121521545877	0.0174208074827642	-0.113007838344949	-0.0207717685212837	0.032532667434919	0.0106888758821161	-0.0834157476039219	0.0146555393758041	0.0627699601674801	0.00483770283427057	-0.0609558830021177	0.0643055649238528	0.151923050876588	0.0174629057156083	0.00459536342785441	0.0484669433403331	-0.10632772240223	1	0.0702459017260778	0.176564328668538	NA	NA	0.625117764650908	1	NA	NA	NA	NA	NA	-0.0262334874506405	0.723665224325979	0.148236272936149	0.162878409136562	0.16022885222561	-0.0166561862803342
