APOBEC3A_exp	APOBEC3B_exp	UNG_exp	SMUG1_exp	Intratumor.Heterogeneity	Proliferation	Lymphocyte.Infiltration.Signature.Score	Aneuploidy.Score	Homologous.Recombination.Defects	B.Cells.Memory	B.Cells.Naive	Dendritic.Cells.Activated	Dendritic.Cells.Resting	Eosinophils	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.Cells.Activated	Mast.Cells.Resting	Monocytes	Neutrophils	NK.Cells.Activated	NK.Cells.Resting	Plasma.Cells	T.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Resting	T.Cells.CD4.Naive	T.Cells.CD8	T.Cells.Follicular.Helper	T.Cells.gamma.delta	T.Cells.Regulatory.Tregs	Lymphocytes	BCR.Evenness	BCR.Shannon	BCR.Richness	TCR.Shannon	EBV	HBV	HCV	HPV	polyoma_BK_virus	polyoma_JC_virus	polyoma_KI_virus	polyoma_Merkel_cell	polyoma_WU_virus
KIRP	0.0743870667165489	0.182306582684867	0.178611455338892	0.0594313610224578	0.0768713878797362	0.472115879195823	0.120412110495777	0.155940479056157	0.34090171603406	0.0688984962047202	0.0844009591159515	0.0877918565730134	0.177679778235823	0.189040492261769	-0.0352499756007096	0.380311740929429	-0.0437515239250021	-0.0386192112507579	-0.203211121171569	-0.000598915789300096	-0.0169250812183579	0.0398559283444003	0.0186695231427052	0.0122400808336357	0.106319878173301	-0.0960210884758548	-0.111142941578085	0.174029026294639	0.0954456115638541	-0.0399190546927442	0.102126916395337	0.126272370929766	-0.0929426531158803	-0.0845757485928474	0.00265900203070712	0.123059656878296	-0.0381544435319053	NA	NA	-0.00332079215118721	NA	NA	NA	NA	NA
LAML	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LGG	0.257799963341412	0.0662079108923893	0.0104408677128498	0.0160023822652363	0.0156220694112724	0.0546372724688332	0.208981474386507	0.0946905492477564	-0.0967158481154087	-0.0518260277448124	0.0950519179035399	0.0555708942825812	0.0622425394156799	-0.0520167190587507	-0.00598193755513918	0.0922720972691145	0.0536623288267826	-0.0648080413118128	0.0155671027979765	-0.148283354911394	0.183517246721114	-0.0231147246308631	0.0416759211521679	0.0277191028163472	0.218228502993955	0.0274661173326443	0.0187252586943278	0.0593749335589489	0.0035478920693703	0.140863976513233	0.0792435394881882	0.0674879558882472	0.110581708552548	0.419140899234398	0.478920420782325	0.183775297216109	NA	0.0169694913210098	NA	-0.0241723819753722	NA	NA	NA	NA	NA
LIHC	0.227077499353428	0.0516402425450715	-0.0467076165869159	-0.102284427948261	0.144491110694311	0.198591398862518	0.505025177503065	0.0748874420230025	0.0398607519436393	0.111360836125229	0.227560177222895	-0.037874018215521	0.146290276868104	-0.0878523731560636	0.085123362336985	0.0497491037551419	-0.189031578526906	-0.0448650913730616	-0.260259192448699	-0.164799179943271	0.0710410499842734	-0.0439127749592391	-0.163799780414072	0.0358662935380793	0.139604215049096	0.0177566775772179	-0.115732089383708	0.129945633990446	0.236292973564916	0.0130044107701225	0.237555030023831	0.274368021734788	-0.0406693495210945	0.505367035441642	0.446662934699221	0.491558340354382	0.154559883374976	-0.0115854758883528	0.102654219076129	-0.07548370846121	NA	NA	NA	NA	NA
LUAD	0.181427319436353	0.078375926467998	-0.0769766450961742	-0.0713887683083818	0.122546616026109	0.0687849048048278	0.509788442564095	-0.0902246894752748	-0.106081857530099	0.261701798613139	-0.00906109308555686	-0.112948062068534	-0.0933353955305335	-0.0314812758572451	-0.010831238301896	0.169714366531255	-0.109112164020588	-0.119818733826206	-0.102205957895154	-0.107039349023147	-0.0844627808304915	-0.0142220400639948	-0.0194458627118607	-0.034639564671704	0.0305156346996185	0.083728230882921	-0.0194953036906393	0.101977428445677	0.105393375521586	-0.0681803878295155	0.158965511263627	0.165774456191193	-0.0337451026181424	0.278084614419451	0.251830130360066	0.297424637012699	0.00522042968898891	NA	NA	NA	NA	NA	NA	NA	NA
LUSC	0.120450934121157	-0.0236421401812559	-0.178801989268545	-0.0936368544878298	0.124962703192257	-0.163404341694946	0.575416321115587	-0.153478474601521	-0.145344297255553	0.160686975415194	0.114120157520954	-0.160462280533908	-0.0334471220281329	-0.0951070011753378	-0.0281203654118565	0.0894509605043631	-0.169420029911624	-0.115067506544578	-0.0481912357514693	0.00812047756396017	-0.0231752422451375	-0.0707218820079072	-0.0362662307464089	-0.0249165361755525	0.124124004034436	0.15694703458152	-0.116035429503996	0.0420604948816463	0.0299966235571969	0.0200823621177795	0.263925215260987	0.219363692642234	-0.046376287043962	0.313209379439901	0.376190318941662	0.418953376259139	0.045966228534882	NA	NA	-0.0139833455690265	NA	NA	NA	NA	NA
OV	0.029493929605	0.0624198024847329	-0.149640990242671	-0.0300243867575811	-0.0248657449961843	0.0269699595232435	0.241080170064489	-0.106452935096416	0.0395293855632217	0.0536605914730412	0.038410619114498	-0.0964088540697535	0.116893368563603	0.0248436716409963	-0.0175069136579621	0.13603261693593	-0.00940704173799831	0.0403420102508751	-0.195417026108195	-0.00609406822821971	-0.112454779198096	-0.0366635130575669	-0.0392141436639455	0.00780738158301816	0.0450876315385293	0.0437059924615246	-0.0816263917078216	0.103378863679776	2.11085450647453e-05	-0.0651312647007127	0.0326211688499694	0.0839267473228225	0.0532113579441891	0.108407800044577	0.0509988152409966	0.10616381141789	NA	NA	NA	-0.000698132205041806	NA	NA	NA	0.156039706596739	NA
PRAD	0.201406920716215	0.0661259355773727	-0.0950561796420466	-0.122005622362866	0.0518631887661422	0.0951874121255595	0.393901009016845	0.0209533204759872	0.0148970696997083	0.117127593041014	0.302671892280073	-0.052795677689168	0.0115051999056474	0.0178469793807623	0.0582001745412649	-0.0030093982519221	-0.168006349674875	-0.0403156293122965	-0.0981775281397968	-0.0962462231070066	0.0970274934544008	-0.0652151119032736	-0.0828200940379956	-0.0174202036944499	-0.0510200059759844	0.108018349478372	NA	-0.12311017660271	0.130501698658303	-0.0560167281611019	0.134961822807121	0.202050014983924	0.0561648930048318	0.36980470204315	0.309579735465858	0.330601601042792	-0.0542078469066457	NA	NA	0.00971422536088792	NA	NA	NA	NA	NA
READ	0.162000596378811	0.0690506689533673	-0.022448076363222	-0.206172287726918	0.192810920868183	-0.073329637604615	0.395753418432387	0.0613233367184643	0.0458931661422335	-0.0826739097928714	0.0389039024172729	-0.131476586889325	0.0641197266887656	-0.138364536085759	0.0404303198776967	0.252065147448553	0.051669747661673	-0.320069909979802	0.257578539596955	-0.0922543822380299	-0.101613423899516	0.0381944588578731	-0.172069457873098	0.0524038336932294	-0.0972442062631465	0.025872279415352	-0.00309501622759846	0.00463640384290212	0.0161196121963396	-0.104936287774647	0.0393728241552363	-0.0111355005921323	0.14644452588168	0.284343798581079	0.247434296520045	0.385274746703372	0.101353282893704	NA	NA	-0.0852528570467561	NA	NA	NA	NA	NA
SKCM	0.192938685278791	-0.00208656840491758	-0.148025790293865	-0.127564871244223	0.183269629692718	0.0487130162864509	0.578794308593061	-0.0996448199473758	-0.0714481163089809	0.24797357664823	0.555188751187266	-0.126387787076923	-0.0565051968064865	-0.119737959462471	-0.176957690171007	0.159315049308412	-0.286413774793787	-0.121083418349355	-0.249620051448127	-0.135822074264308	-0.0517455038229518	0.108678380905871	-0.164652125923966	0.142358304061945	0.0577417948314462	0.0774255509029643	-0.0567617893646465	0.0843805973877652	0.251463038074429	-0.053636520076168	0.246537681430598	0.464349734229227	-0.0370573082982403	0.342118141469575	0.461339284182336	0.37124470910943	0.128404100191576	NA	NA	-0.0381119194636395	NA	NA	NA	NA	NA
